generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774000507-LQ2kL4msVT5ZM8YDgEWI,2026-03-20 09:55:07.684,0.052467,,,0,0,17054,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1902,1236,ClifPad,clif key
gen-1774000504-jaU1e0F43nq6eEilaVyy,2026-03-20 09:55:04.362,0.041352,,,0,0,13284,100,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2743,1687,ClifPad,clif key
gen-1774000502-6t7BLwg5m6ohEiexakpT,2026-03-20 09:55:02.218,0.040587,,,0,0,13134,79,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2098,1149,ClifPad,clif key
gen-1774000500-G4lkWhZ9BdAjG9c8phfB,2026-03-20 09:55:00.750,0.034803,,,0,0,11196,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1389,808,ClifPad,clif key
gen-1774000499-K94ptTs5E3ouogIoiwwE,2026-03-20 09:54:59.078,0.033468,,,0,0,10721,87,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1616,963,ClifPad,clif key
gen-1774000496-SQg1Eb8B6WhlA379mxoi,2026-03-20 09:54:56.665,0.03093,,,0,0,9895,83,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2210,1268,ClifPad,clif key
gen-1774000494-H2la8N9iyHnIT8DfH9lv,2026-03-20 09:54:54.639,0.022764,,,0,0,7183,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1986,1086,ClifPad,clif key
gen-1774000492-OkDSn5lUzV9sbXbLXdPy,2026-03-20 09:54:52.892,0.012804,,,0,0,3838,86,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1691,1218,ClifPad,clif key
gen-1774000490-gIhK7Jq4xhcslq4dKo2g,2026-03-20 09:54:50.798,0.012291,,,0,0,3712,77,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2052,1125,ClifPad,clif key
gen-1774000488-01heSt0MxMwNKn7EtfNv,2026-03-20 09:54:48.387,0.008985,,,0,0,2450,109,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2366,914,ClifPad,clif key
gen-1774000486-eaGFW0WTncxwTTh687F1,2026-03-20 09:54:46.499,0.00816,,,0,0,2355,73,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1838,1375,ClifPad,clif key
gen-1774000484-rBnq0IDFljCM3PXKcoih,2026-03-20 09:54:44.933,0.005463,,,0,0,1446,75,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1423,995,ClifPad,clif key
gen-1774000482-HvHGA8qpfvFrBAGjSyYd,2026-03-20 09:54:42.562,0.00528,,,0,0,1265,99,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2039,1198,ClifPad,clif key
gen-1773995034-pacHT76duERh0DRsBlCO,2026-03-20 08:23:54.901,0.091251,,,0,0,29847,114,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2689,870,ClifPad,clif key
gen-1773995032-J0O43lcLSWyf1nPeRVkx,2026-03-20 08:23:52.482,0.081162,,,0,0,26534,104,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2332,931,ClifPad,clif key
